403,The Academy,8/5/2013,"Massillon, OH",32.8,23.55,24.2,80.55,0,80.55
404,Pacific Crest,8/5/2013,"Massillon, OH",32.6,24.3,24.4,81.3,0,81.3
405,Seattle Cascades,8/5/2013,"Massillon, OH",28.6,21.5,22.2,72.3,0,72.3
406,The Cadets,8/8/2013,"Indianapolis, IN",39,28.65,29.2,96.85,0,96.85
407,The Cadets,8/8/2013,"Indianapolis, IN",38.4,28.7,29,96.1,0,96.1
408,Blue Devils,8/8/2013,"Indianapolis, IN",38.65,29.55,29,97.2,0,97.2
409,Carolina Crown,8/8/2013,"Indianapolis, IN",38.95,29.3,28.8,97.05,0,97.05
410,Santa Clara Vanguard,8/8/2013,"Indianapolis, IN",38,28.95,28.55,95.5,0,95.5
411,Phantom Regiment,8/8/2013,"Indianapolis, IN",36.75,28.15,27.45,92.35,0,92.35
412,Blue Stars,8/8/2013,"Indianapolis, IN",33.4,26,26.1,85.5,0,85.5
413,Crossmen,8/8/2013,"Indianapolis, IN",33.5,25.1,25.15,83.75,0,83.75
414,Troopers,8/8/2013,"Indianapolis, IN",33.7,24.65,25.25,83.6,0,83.6
415,Pacific Crest,8/8/2013,"Indianapolis, IN",32.6,24.1,24.75,81.45,0,81.45
416,Colts,8/8/2013,"Indianapolis, IN",32.15,24.9,24.35,81.4,0,81.4
417,Mandarins,8/8/2013,"Indianapolis, IN",31.15,23.75,24.35,79.25,0,79.25
418,The Academy,8/8/2013,"Indianapolis, IN",31,22.8,23.7,77.5,0,77.5
419,Jersey Surf,8/8/2013,"Indianapolis, IN",29.65,22.15,22.75,74.55,0,74.55
420,Seattle Cascades,8/8/2013,"Indianapolis, IN",27.85,20.25,21.75,69.85,0,69.85
421,Genesis,8/8/2013,"Indianapolis, IN",29.65,22,22.1,73.75,0,73.75
422,Blue Devils,8/8/2013,"Indianapolis, IN",39,29.45,29.15,97.6,0,97.6
423,Carolina Crown,8/8/2013,"Indianapolis, IN",39.55,29.3,29.4,98.25,0,98.25
424,Santa Clara Vanguard,8/8/2013,"Indianapolis, IN",38.55,29.2,28.75,96.5,0,96.5
425,Bluecoats,8/8/2013,"Indianapolis, IN",37.05,27.7,28.3,93.05,0,93.05
426,Phantom Regiment,8/8/2013,"Indianapolis, IN",37.25,28.4,27.4,93.05,0,93.05
427,Madison Scouts,8/8/2013,"Indianapolis, IN",36.2,27.15,27.15,90.5,0,90.5
428,The Cavaliers,8/8/2013,"Indianapolis, IN",36.45,27.4,27.4,91.25,0,91.25
429,Blue Knights,8/8/2013,"Indianapolis, IN",35.95,27,26.4,89.35,0,89.35
430,Boston Crusaders,8/8/2013,"Indianapolis, IN",35.8,27.2,27,90,0,90
